Sample_Name,Pig,Diet,Time_Point,Diet_By_Time_Point,Acidobacteria,Actinobacteria,Apicomplexa,Aquificae,Ascomycota,Bacillariophyta,Bacteroidetes,Basidiomycota,Candidatus Poribacteria,Chlamydiae,Chlorobi,Chloroflexi,Chlorophyta,Chrysiogenetes,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Hemichordata,Korarchaeota,Lentisphaerae,Microsporidia,Nanoarchaeota,Nematoda,Nitrospirae,Placozoa,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermotogae,Verrucomicrobia,unclassified (derived from Bacteria),unclassified (derived from Eukaryota),unclassified (derived from Viruses),unclassified (derived from other sequences)
ShotgunWGS-ControlPig2GutMicrobiome-Day7,2,Control,Day 7,Control Day 7,0.001124838,0.033282036,1.91E-04,7.79E-04,6.64E-04,7.33E-05,0.27250999,1.08E-04,1.25E-05,3.49E-04,0.002200998,0.003623161,1.85E-04,1.48E-04,3.66E-04,0.003814581,6.67E-04,0.001359014,4.88E-04,5.46E-04,0.007517335,0.001732645,0.584566242,0.006521098,1.13E-04,1.12E-05,2.76E-05,0.001321191,4.01E-05,2.63E-06,6.78E-05,2.77E-04,1.81E-05,0.00106728,0.054311894,0.008740514,0.003002527,0.00123173,3.39E-05,0.002652249,0.00161128,7.57E-04,7.73E-04,0.001086356,1.91E-05
ShotgunWGS-ControlPig6GutMicrobiome-Day7,6,Control,Day 7,Control Day 7,6.74E-04,0.048483681,3.50E-05,4.21E-04,2.98E-04,1.83E-05,0.468600622,6.09E-05,9.13E-06,1.29E-04,0.001249499,0.001614672,6.85E-05,8.06E-05,1.20E-04,0.002642025,3.51E-04,5.74E-04,2.50E-04,1.57E-04,0.003016631,0.001340488,0.429896875,0.003467924,6.24E-05,3.04E-06,1.19E-05,1.81E-04,1.22E-05,1.22E-06,4.23E-05,1.66E-04,1.22E-05,4.83E-04,0.027971928,0.002508737,9.74E-04,7.77E-04,1.46E-05,0.001213591,9.75E-04,3.45E-04,3.45E-04,3.37E-04,5.17E-06
ShotgunWGS-TomatoPig12GutMicrobiome-Day0,12,Tomato,Day 0,Tomato Day 0,7.76E-04,0.028272781,7.99E-05,4.57E-04,4.70E-04,2.57E-05,0.358607535,5.86E-05,5.06E-06,1.51E-04,0.00116916,0.001928355,1.26E-04,5.93E-05,1.30E-04,0.002801429,3.35E-04,6.54E-04,2.73E-04,1.81E-04,0.003218263,0.001610216,0.538926455,0.004195456,6.91E-05,4.34E-06,1.48E-05,2.48E-04,1.27E-05,7.23E-07,7.81E-05,1.50E-04,9.40E-06,4.46E-04,0.045615324,0.003198741,0.001123247,6.32E-04,1.55E-05,0.001245441,0.001124693,3.26E-04,4.38E-04,7.00E-04,3.40E-05
ShotgunWGS-TomatoPig14GutMicrobiome-Day0,14,Tomato,Day 0,Tomato Day 0,7.91E-04,0.083602096,3.15E-04,6.32E-04,5.22E-04,4.11E-05,0.312866341,1.19E-04,1.19E-05,2.51E-04,0.001710355,0.002957196,2.72E-04,1.03E-04,2.27E-04,0.002974483,5.19E-04,0.000853557,3.55E-04,3.15E-04,0.005185087,0.00191456,0.507611241,0.005388212,6.05E-05,1.08E-05,2.05E-05,4.92E-04,2.59E-05,1.08E-06,3.12E-04,2.57E-04,1.51E-05,7.52E-04,0.05585394,0.004681596,0.001969663,9.43E-04,2.38E-05,0.001712516,0.001330036,5.33E-04,7.02E-04,7.41E-04,2.38E-05
ShotgunWGS-ControlPig7GutMicrobiome-Day14,7,Control,Day 14,Control Day 14,6.52E-04,0.044547737,1.01E-04,4.18E-04,3.44E-04,2.07E-05,0.358134172,6.86E-05,8.78E-06,2.26E-04,0.001316947,0.001763243,9.75E-05,7.46E-05,1.64E-04,0.002171929,3.42E-04,6.27E-04,2.78E-04,1.86E-04,0.003333112,0.004783572,0.540980822,0.003835508,4.64E-05,3.45E-06,1.50E-05,2.22E-04,2.26E-05,1.57E-06,5.42E-05,1.42E-04,5.95E-06,3.75E-04,0.025601182,0.003366647,0.001214776,6.62E-04,1.47E-05,0.001289681,8.75E-04,3.80E-04,4.60E-04,7.66E-04,4.07E-06
ShotgunWGS-TomatoPig11GutMicrobiome-Day14,11,Tomato,Day 14,Tomato Day 14,7.41E-04,0.0337171,2.34E-04,5.53E-04,0.001061178,6.37E-05,0.407831647,1.44E-04,1.30E-05,1.76E-04,0.001444814,0.001879169,1.47E-04,7.28E-05,1.86E-04,0.002805098,4.25E-04,6.54E-04,0.000288703,2.87E-04,0.003776544,0.001533246,0.474529785,0.004507404,5.72E-05,1.30E-06,1.17E-05,2.86E-04,4.16E-05,2.60E-06,1.65E-04,1.48E-04,3.38E-05,4.51E-04,0.049863646,0.003864976,0.001534546,9.05E-04,1.17E-05,0.00146042,0.001087187,7.83E-04,0.001304364,9.00E-04,7.80E-06
ShotgunWGS-TomatoPig20GutMicrobiome-Day0,20,Tomato,Day 0,Tomato Day 0,0.001016321,0.033750332,1.71E-04,6.31E-04,6.92E-04,7.52E-05,0.358863743,1.20E-04,1.60E-05,2.81E-04,0.00170168,0.002760348,1.95E-04,1.21E-04,2.81E-04,0.003913577,5.57E-04,8.88E-04,4.22E-04,3.32E-04,0.005977465,0.00333799,0.49973523,0.005244826,9.00E-05,1.32E-05,2.63E-05,6.38E-04,3.04E-05,3.70E-06,9.17E-05,2.09E-04,2.47E-05,8.11E-04,0.06242687,0.005316774,0.002053199,9.51E-04,1.85E-05,0.001934793,0.001815564,5.11E-04,9.41E-04,9.46E-04,5.88E-05
ShotgunWGS-ControlPig9GutMicrobiome-Day0,9,Control,Day 0,Control Day 0,7.70E-04,0.042346842,2.07E-04,5.20E-04,5.54E-04,5.17E-05,0.342833272,8.77E-05,7.19E-06,0.002755033,0.001319791,0.002174421,1.49E-04,7.66E-05,0.000228987,0.002656828,3.91E-04,7.20E-04,3.38E-04,2.90E-04,0.004573039,0.00155788,0.542343489,0.004915083,5.80E-05,8.62E-06,2.68E-05,2.82E-04,2.92E-05,9.58E-07,9.92E-05,1.81E-04,1.58E-05,4.41E-04,0.034528698,0.004802506,0.001615846,0.001022778,1.72E-05,0.001659918,9.95E-04,5.43E-04,8.96E-04,8.77E-04,3.02E-05
ShotgunWGS-TomatoPig11GutMicrobiome-Day7,11,Tomato,Day 7,Tomato Day 7,7.45E-04,0.046779628,2.57E-04,4.02E-04,8.20E-04,4.56E-05,0.422086225,1.82E-04,8.04E-06,1.45E-04,0.00136712,0.00179602,1.23E-04,7.24E-05,1.96E-04,0.002452774,3.67E-04,6.51E-04,2.76E-04,2.04E-04,0.004339936,0.001544041,0.465003069,0.004007538,2.95E-05,5.36E-06,1.88E-05,1.80E-04,3.22E-05,0,1.34E-04,1.50E-04,1.61E-05,3.97E-04,0.03507869,0.003029109,0.001369801,6.92E-04,1.34E-05,0.001214324,9.17E-04,9.33E-04,5.23E-04,0.001369801,2.41E-05
ShotgunWGS-TomatoPig13GutMicrobiome-Day7,13,Tomato,Day 7,Tomato Day 7,9.10E-04,0.046515804,1.30E-04,8.14E-04,5.89E-04,5.79E-05,0.215841443,1.34E-04,1.82E-05,3.38E-04,0.001646943,0.004076805,1.42E-04,1.31E-04,3.30E-04,0.003857489,6.37E-04,0.001161136,5.73E-04,5.19E-04,0.009188951,0.001800051,0.633766146,0.006917162,8.86E-05,7.45E-06,2.81E-05,6.41E-04,2.40E-05,3.31E-06,7.03E-05,2.96E-04,1.57E-05,8.00E-04,0.050425433,0.005988584,0.002709594,0.00201523,2.81E-05,0.002424896,0.00131921,0.001192586,7.55E-04,0.001016305,4.97E-05
ShotgunWGS-TomatoPig17GutMicrobiome-Day0,17,Tomato,Day 0,Tomato Day 0,6.42E-04,0.030620317,7.02E-05,3.20E-04,2.81E-04,1.68E-05,0.488282193,4.07E-05,4.52E-06,1.20E-04,0.001310193,0.001593178,9.61E-05,5.54E-05,1.16E-04,0.001684358,2.43E-04,4.97E-04,1.76E-04,1.24E-04,0.002481152,0.00117712,0.420606007,0.003067248,3.45E-05,8.21E-07,8.21E-06,1.18E-04,1.44E-05,0,4.97E-05,1.36E-04,9.45E-06,2.53E-04,0.039138213,0.002394901,8.07E-04,4.65E-04,5.75E-06,9.21E-04,8.72E-04,2.97E-04,3.05E-04,4.70E-04,7.35E-05
ShotgunWGS-TomatoPig19GutMicrobiome-Day14,19,Tomato,Day 14,Tomato Day 14,6.99E-04,0.043828808,1.66E-04,0.000503569,4.36E-04,3.02E-05,0.331938998,1.13E-04,1.10E-05,1.63E-04,0.001287712,0.002104755,1.19E-04,9.69E-05,2.35E-04,0.002589132,4.55E-04,6.63E-04,3.00E-04,2.32E-04,0.004387725,0.001496999,0.553983818,0.004473633,5.30E-05,1.83E-06,1.65E-05,2.78E-04,1.74E-05,7.31E-06,6.40E-05,1.55E-04,1.19E-05,4.01E-04,0.037965105,0.003437249,0.001306904,9.13E-04,2.10E-05,0.001423886,8.87E-04,0.001090305,5.01E-04,0.001125948,8.23E-06
ShotgunWGS-TomatoPig13GutMicrobiome-Day0,13,Tomato,Day 0,Tomato Day 0,7.63E-04,0.043524569,9.79E-05,5.19E-04,4.69E-04,4.90E-05,0.375932441,9.23E-05,1.54E-05,2.09E-04,0.001420363,0.002387202,1.39E-04,9.30E-05,0.000248966,0.00261309,4.56E-04,7.96E-04,3.59E-04,2.91E-04,0.005194359,0.002234396,0.504190979,0.004815316,7.03E-05,4.20E-06,2.48E-05,3.64E-04,1.71E-05,1.40E-06,6.92E-05,1.86E-04,2.13E-05,4.98E-04,0.040007231,0.004904133,0.001761292,8.61E-04,2.20E-05,0.001668979,0.001134682,4.43E-04,5.11E-04,5.11E-04,9.09E-06
ShotgunWGS-ControlPig2GutMicrobiome-Day14,2,Control,Day 14,Control Day 14,7.65E-04,0.026751593,7.47E-05,4.94E-04,4.83E-04,3.54E-05,0.246350682,7.93E-05,9.42E-06,1.89E-04,0.001343001,0.002283056,1.39E-04,9.17E-05,2.10E-04,0.002703232,4.35E-04,7.82E-04,3.49E-04,2.69E-04,0.004328801,0.001617069,0.658247523,0.004376126,6.59E-05,3.68E-06,1.75E-05,4.52E-04,1.91E-05,2.53E-06,5.56E-05,1.80E-04,1.13E-05,5.06E-04,0.034587682,0.004202909,0.001613623,8.24E-04,2.41E-05,0.001610866,0.001108906,4.67E-04,0.000509311,0.001317272,1.47E-05
ShotgunWGS-ControlPig1GutMicrobiome-Day7,1,Control,Day 7,Control Day 7,6.64E-04,0.019318563,5.40E-05,4.27E-04,4.01E-04,3.11E-05,0.295873329,7.78E-05,8.99E-06,1.55E-04,0.001147374,0.001841263,8.82E-05,7.54E-05,2.01E-04,0.002175409,3.80E-04,6.50E-04,2.75E-04,2.02E-04,0.004269185,0.001461457,0.62029748,0.004297203,4.15E-05,3.46E-06,1.87E-05,2.59E-04,1.94E-05,1.04E-06,4.46E-05,1.31E-04,1.07E-05,3.76E-04,0.035074975,0.003435549,0.00134627,9.07E-04,2.46E-05,0.001386741,8.88E-04,6.21E-04,4.36E-04,5.84E-04,1.73E-05
ShotgunWGS-TomatoPig15GutMicrobiome-Day7,15,Tomato,Day 7,Tomato Day 7,0.001009991,0.051905773,2.72E-04,7.78E-04,8.39E-04,9.47E-05,0.337184728,1.49E-04,2.67E-05,3.18E-04,0.00215607,0.003399545,2.56E-04,1.41E-04,3.30E-04,0.003773122,6.35E-04,0.001191442,5.12E-04,4.16E-04,0.009578232,0.001590368,0.481489289,0.006085293,1.07E-04,6.67E-06,2.53E-05,0.001170095,3.60E-05,2.67E-06,2.27E-04,2.40E-04,2.40E-05,9.06E-04,0.074751305,0.006823106,0.002603027,0.001482298,3.20E-05,0.002334853,0.001639734,0.001023333,0.001050017,0.001346209,3.07E-05
ShotgunWGS-TomatoPig15GutMicrobiome-Day0,15,Tomato,Day 0,Tomato Day 0,9.29E-04,0.054858753,1.46E-04,6.38E-04,6.63E-04,7.75E-05,0.326891973,1.32E-04,1.51E-05,2.39E-04,0.001621971,0.002662386,1.99E-04,1.16E-04,3.48E-04,0.00311714,6.04E-04,9.67E-04,4.24E-04,3.59E-04,0.006857344,0.001683092,0.524279395,0.00561213,6.29E-05,8.21E-06,3.33E-05,6.45E-04,2.46E-05,3.65E-06,1.08E-04,2.34E-04,2.14E-05,5.96E-04,0.049736042,0.006313646,0.002269665,9.26E-04,1.87E-05,0.002098163,0.001346473,6.39E-04,7.91E-04,6.77E-04,3.19E-06
ShotgunWGS-TomatoPig12GutMicrobiome-Day7,12,Tomato,Day 7,Tomato Day 7,7.40E-04,0.050419755,1.24E-04,5.31E-04,0.001182929,5.15E-05,0.298652016,1.28E-04,1.16E-05,1.62E-04,0.001342659,0.00223738,1.45E-04,9.38E-05,2.07E-04,0.002649437,4.84E-04,8.22E-04,3.21E-04,2.56E-04,0.004227641,0.00158457,0.565287972,0.004776279,6.13E-05,6.94E-06,1.39E-05,4.00E-04,2.26E-05,5.79E-07,8.04E-05,1.72E-04,2.49E-05,4.21E-04,0.050728219,0.003706782,0.001613506,9.28E-04,1.39E-05,0.001574152,0.001023778,8.07E-04,9.98E-04,8.95E-04,6.89E-05
ShotgunWGS-TomatoPig14GutMicrobiome-Day14,14,Tomato,Day 14,Tomato Day 14,5.80E-04,0.036773144,6.87E-05,4.42E-04,3.38E-04,2.19E-05,0.399471513,5.67E-05,7.96E-06,1.58E-04,0.001315744,0.001799444,8.46E-05,7.56E-05,1.31E-04,0.002313002,3.49E-04,5.51E-04,2.72E-04,1.82E-04,0.003307274,0.001360531,0.502694687,0.003500356,4.68E-05,9.95E-07,1.09E-05,2.09E-04,1.19E-05,1.99E-06,5.57E-05,1.47E-04,1.49E-05,3.24E-04,0.03506626,0.002691203,0.001038064,7.06E-04,1.89E-05,0.001335649,7.87E-04,4.80E-04,0.000375216,7.78E-04,4.08E-05
ShotgunWGS-TomatoPig20GutMicrobiome-Day14,20,Tomato,Day 14,Tomato Day 14,6.54E-04,0.038502393,1.31E-04,4.94E-04,6.41E-04,3.83E-05,0.301797588,8.71E-05,5.28E-06,1.45E-04,0.001217921,0.002017552,8.58E-05,8.71E-05,1.95E-04,0.002678634,4.01E-04,6.36E-04,3.01E-04,2.24E-04,0.003785715,0.001425086,0.598945172,0.004202684,3.69E-05,5.28E-06,1.32E-05,2.61E-04,1.58E-05,0,5.81E-05,1.68E-04,1.06E-05,3.35E-04,0.031146046,0.003401733,0.00116514,7.42E-04,1.72E-05,0.001382861,8.44E-04,6.99E-04,3.93E-04,5.92E-04,1.19E-05
ShotgunWGS-ControlPig1GutMicrobiome-Day0,1,Control,Day 0,Control Day 0,6.11E-04,0.018663247,5.73E-05,3.29E-04,3.72E-04,2.74E-05,0.336603877,6.58E-05,7.83E-06,1.17E-04,0.00114781,0.001657398,9.15E-05,5.36E-05,1.39E-04,0.00181551,3.01E-04,5.45E-04,2.47E-04,1.64E-04,0.003246768,0.001496399,0.596071761,0.00369946,3.61E-05,4.74E-06,1.48E-05,1.87E-04,3.30E-05,1.65E-06,4.58E-05,1.12E-04,1.57E-05,3.34E-04,0.023571535,0.002978987,0.001051334,6.24E-04,1.65E-05,0.001180999,9.26E-04,3.51E-04,3.86E-04,5.64E-04,3.07E-05
ShotgunWGS-ControlPig4GutMicrobiome-Day14,4,Control,Day 14,Control Day 14,6.68E-04,0.035018379,4.75E-05,4.55E-04,3.75E-04,1.99E-05,0.343988004,6.14E-05,4.98E-06,1.42E-04,0.001267212,0.002206675,1.03E-04,6.97E-05,1.86E-04,0.002565627,3.55E-04,6.57E-04,2.99E-04,1.93E-04,0.003911237,0.002649006,0.561922062,0.004075374,6.40E-05,3.93E-06,1.52E-05,2.35E-04,2.41E-05,1.05E-06,3.51E-05,1.57E-04,9.96E-06,4.63E-04,0.028582156,0.003423021,0.001309689,6.49E-04,1.52E-05,0.001315195,9.55E-04,3.72E-04,5.87E-04,5.31E-04,1.34E-05
ShotgunWGS-ControlPig6GutMicrobiome-Day0,6,Control,Day 0,Control Day 0,8.82E-04,0.049588403,1.22E-04,4.11E-04,4.82E-04,2.45E-05,0.460945263,8.56E-05,9.33E-06,0.001463836,0.001519838,0.002100472,1.41E-04,7.31E-05,2.05E-04,0.00234587,3.39E-04,6.83E-04,2.59E-04,1.86E-04,0.003528139,0.001626009,0.428843939,0.004356894,5.06E-05,5.83E-06,1.83E-05,2.51E-04,1.36E-05,7.78E-07,1.06E-04,1.38E-04,1.40E-05,3.98E-04,0.028487236,0.003664645,0.001583618,8.83E-04,1.91E-05,0.001513226,0.001084654,3.13E-04,7.56E-04,4.53E-04,2.02E-05
ShotgunWGS-TomatoPig16GutMicrobiome-Day0,16,Tomato,Day 0,Tomato Day 0,7.54E-04,0.042891513,8.06E-05,3.96E-04,4.22E-04,4.01E-05,0.426576226,7.28E-05,6.23E-06,1.51E-04,0.001306918,0.001761379,1.11E-04,6.23E-05,1.93E-04,0.002042156,3.44E-04,6.30E-04,3.13E-04,2.21E-04,0.003615053,0.001494622,0.473847626,0.003794968,5.10E-05,6.62E-06,1.75E-05,2.17E-04,1.67E-05,1.56E-06,5.41E-05,1.43E-04,1.29E-05,3.82E-04,0.028719088,0.003271578,0.00138675,6.79E-04,1.87E-05,0.001368058,9.61E-04,4.86E-04,4.60E-04,5.00E-04,1.17E-04
ShotgunWGS-TomatoPig16GutMicrobiome-Day14,16,Tomato,Day 14,Tomato Day 14,0.001024096,0.04259461,1.67E-04,5.55E-04,9.31E-04,7.02E-05,0.355079176,1.42E-04,2.01E-05,2.13E-04,0.001580642,0.002501952,2.23E-04,7.90E-05,2.36E-04,0.008325635,4.36E-04,8.64E-04,3.13E-04,3.03E-04,0.004709336,0.001445266,0.498010096,0.004365882,2.51E-04,7.52E-06,3.01E-05,3.66E-04,2.38E-05,0,1.94E-04,2.11E-04,2.13E-05,0.001219639,0.05983251,0.004521314,0.001515461,9.71E-04,2.76E-05,0.001511701,0.002248749,0.001308636,6.77E-04,8.62E-04,8.77E-06
ShotgunWGS-TomatoPig18GutMicrobiome-Day14,18,Tomato,Day 14,Tomato Day 14,6.18E-04,0.081535313,1.07E-04,4.45E-04,7.58E-04,2.02E-05,0.381901523,8.07E-05,7.89E-06,1.22E-04,0.001117222,0.001818775,1.02E-04,6.66E-05,1.54E-04,0.002276538,3.27E-04,5.57E-04,2.31E-04,1.78E-04,0.003263973,0.001221578,0.482401555,0.003411299,4.30E-05,1.75E-06,1.23E-05,1.82E-04,1.23E-05,0,6.58E-05,1.54E-04,9.65E-06,3.03E-04,0.028641759,0.002586975,0.001033913,6.60E-04,1.75E-05,0.001099684,8.80E-04,7.19E-04,2.87E-04,5.59E-04,6.14E-06
ShotgunWGS-ControlPig7GutMicrobiome-Day7,7,Control,Day 7,Control Day 7,6.84E-04,0.042114142,1.80E-04,3.80E-04,4.90E-04,3.45E-05,0.454172841,9.56E-05,1.27E-05,5.29E-04,0.001495735,0.001574999,1.74E-04,7.74E-05,1.83E-04,0.002113513,2.95E-04,6.00E-04,2.30E-04,1.60E-04,0.003674595,0.001594362,0.446824255,0.003503965,4.24E-05,3.63E-06,1.09E-05,2.23E-04,1.75E-05,3.03E-06,1.68E-04,1.29E-04,1.33E-05,3.83E-04,0.027984527,0.003899077,0.001093968,6.30E-04,1.82E-05,0.001184124,0.001013494,3.70E-04,5.68E-04,0.001040722,1.03E-05
ShotgunWGS-ControlPig4GutMicrobiome-Day7,4,Control,Day 7,Control Day 7,6.95E-04,0.060352453,1.09E-04,5.26E-04,4.34E-04,3.16E-05,0.320098672,7.98E-05,1.34E-05,1.96E-04,0.001366998,0.002192658,1.59E-04,8.83E-05,2.08E-04,0.002575503,4.17E-04,7.62E-04,3.26E-04,2.44E-04,0.004434578,0.001557082,0.543930272,0.004305,5.68E-05,5.89E-06,2.89E-05,3.24E-04,1.18E-05,1.07E-06,1.19E-04,1.68E-04,1.18E-05,5.16E-04,0.043199921,0.003922154,0.001619729,7.15E-04,2.09E-05,0.001467662,9.21E-04,6.03E-04,5.88E-04,5.89E-04,5.35E-06
ShotgunWGS-TomatoPig13GutMicrobiome-Day14,13,Tomato,Day 14,Tomato Day 14,8.46E-04,0.054490083,1.08E-04,7.68E-04,4.49E-04,5.08E-05,0.241283112,1.02E-04,1.64E-05,2.33E-04,0.001855357,0.002961694,1.36E-04,1.18E-04,2.41E-04,0.003517852,5.64E-04,9.05E-04,4.22E-04,4.37E-04,0.006569249,0.00151299,0.618494664,0.005425536,6.43E-05,5.98E-06,2.54E-05,5.28E-04,1.20E-05,5.98E-06,8.67E-05,1.91E-04,5.98E-06,6.62E-04,0.042390645,0.004840972,0.002152872,0.001441228,3.44E-05,0.002131941,0.001287238,9.78E-04,6.13E-04,0.001004674,3.14E-05
ShotgunWGS-ControlPig8GutMicrobiome-Day7,8,Control,Day 7,Control Day 7,6.37E-04,0.046681665,1.11E-04,3.84E-04,3.22E-04,2.40E-05,0.375232181,6.07E-05,5.57E-06,1.35E-04,0.001234585,0.001813461,9.77E-05,6.25E-05,2.07E-04,0.002036038,3.16E-04,6.32E-04,3.02E-04,1.74E-04,0.003870613,0.001470358,0.524249176,0.003914601,4.05E-05,3.23E-06,1.35E-05,2.02E-04,1.94E-05,1.76E-06,4.22E-05,1.43E-04,1.11E-05,3.55E-04,0.027113647,0.002902887,0.00109705,5.78E-04,1.85E-05,0.00122784,8.32E-04,4.87E-04,4.39E-04,4.66E-04,3.08E-05
